Field Name,Value
variants.variant.26.color_name,Black
variants.variant.26.size,128
variants.variant.26.available,50-100
variants.variant.26.free_stock,90
variants.variant.26.incoming,0
variants.variant.26.mfstock,4860
variants.variant.26.outlet_discount_percent,
variants.variant.26.leaving,0
variants.variant.27.code,1033036140
variants.variant.27.recommended_retail_price,4.50
variants.variant.27.recommended_retail_price_brutto,5.65
variants.variant.27.wholesale_price,
variants.variant.27.discount,0.00
variants.variant.27.vat,25.50
variants.variant.27.currency,EUR
variants.variant.27.color,36
variants.variant.27.hexcolors.hexcolor,#000000
variants.variant.27.color_name,Black
variants.variant.27.size,140
variants.variant.27.available,> 100
variants.variant.27.free_stock,146
variants.variant.27.incoming,0
variants.variant.27.mfstock,5616
variants.variant.27.outlet_discount_percent,
variants.variant.27.leaving,0
variants.variant.28.code,1033036152
variants.variant.28.recommended_retail_price,4.50
variants.variant.28.recommended_retail_price_brutto,5.65
variants.variant.28.wholesale_price,
variants.variant.28.discount,0.00
variants.variant.28.vat,25.50
variants.variant.28.currency,EUR
variants.variant.28.color,36
variants.variant.28.hexcolors.hexcolor,#000000
variants.variant.28.color_name,Black
variants.variant.28.size,152
variants.variant.28.available,50-100
variants.variant.28.free_stock,90
variants.variant.28.incoming,0
variants.variant.28.mfstock,4212
variants.variant.28.outlet_discount_percent,
variants.variant.28.leaving,0
variants.variant.29.code,1033036164
variants.variant.29.recommended_retail_price,4.50
variants.variant.29.recommended_retail_price_brutto,5.65
variants.variant.29.wholesale_price,
variants.variant.29.discount,0.00
variants.variant.29.vat,25.50
variants.variant.29.currency,EUR
variants.variant.29.color,36
variants.variant.29.hexcolors.hexcolor,#000000
variants.variant.29.color_name,Black
variants.variant.29.size,164
variants.variant.29.available,0
variants.variant.29.free_stock,0
variants.variant.29.incoming,72
variants.variant.29.mfstock,4248
variants.variant.29.outlet_discount_percent,
variants.variant.29.leaving,0
variants.variant.30.code,1033040092
variants.variant.30.recommended_retail_price,4.50
variants.variant.30.recommended_retail_price_brutto,5.65
variants.variant.30.wholesale_price,
variants.variant.30.discount,0.00
variants.variant.30.vat,25.50
variants.variant.30.currency,EUR
variants.variant.30.color,40
variants.variant.30.hexcolors.hexcolor,#e2002e
variants.variant.30.color_name,Red
variants.variant.30.size,092
variants.variant.30.available,0
variants.variant.30.free_stock,0
variants.variant.30.incoming,0
variants.variant.30.mfstock,3240
variants.variant.30.outlet_discount_percent,
variants.variant.30.leaving,0
variants.variant.31.code,1033040098
variants.variant.31.recommended_retail_price,4.50
variants.variant.31.recommended_retail_price_brutto,5.65
variants.variant.31.wholesale_price,
variants.variant.31.discount,0.00
variants.variant.31.vat,25.50
variants.variant.31.currency,EUR
variants.variant.31.color,40
variants.variant.31.hexcolors.hexcolor,#e2002e
variants.variant.31.color_name,Red
variants.variant.31.size,098
variants.variant.31.available,0
variants.variant.31.free_stock,0
variants.variant.31.incoming,0
variants.variant.31.mfstock,1080
variants.variant.31.outlet_discount_percent,
variants.variant.31.leaving,0
variants.variant.32.code,1033040104
variants.variant.32.recommended_retail_price,4.50
variants.variant.32.recommended_retail_price_brutto,5.65
variants.variant.32.wholesale_price,
variants.variant.32.discount,0.00
variants.variant.32.vat,25.50
variants.variant.32.currency,EUR
variants.variant.32.color,40
variants.variant.32.hexcolors.hexcolor,#e2002e
variants.variant.32.color_name,Red
variants.variant.32.size,104
variants.variant.32.available,0
variants.variant.32.free_stock,0
variants.variant.32.incoming,0
variants.variant.32.mfstock,2052
variants.variant.32.outlet_discount_percent,
variants.variant.32.leaving,0
variants.variant.33.code,1033040116
variants.variant.33.recommended_retail_price,4.50
variants.variant.33.recommended_retail_price_brutto,5.65
variants.variant.33.wholesale_price,
variants.variant.33.discount,0.00
variants.variant.33.vat,25.50
variants.variant.33.currency,EUR
variants.variant.33.color,40
variants.variant.33.hexcolors.hexcolor,#e2002e
variants.variant.33.color_name,Red
variants.variant.33.size,116
variants.variant.33.available,10-50
variants.variant.33.free_stock,19
variants.variant.33.incoming,0
variants.variant.33.mfstock,756
variants.variant.33.outlet_discount_percent,
variants.variant.33.leaving,0
variants.variant.34.code,1033040128
variants.variant.34.recommended_retail_price,4.50
variants.variant.34.recommended_retail_price_brutto,5.65
variants.variant.34.wholesale_price,
variants.variant.34.discount,0.00
variants.variant.34.vat,25.50
variants.variant.34.currency,EUR
variants.variant.34.color,40
variants.variant.34.hexcolors.hexcolor,#e2002e
variants.variant.34.color_name,Red
